nr roweru,Kod do otwarcia,Pozostawiony kod,Stacja,Data,Godzina,Czy zapiecie elektroniczne,Czy zapiecie cyfrowe
57296,8589,8479,5931,29-10-2018,10:54:00,F,T
63731,1870,9646,5931,29-10-2018,11:02:00,T,F
63713,9532,9201,5947,29-10-2018,11:17:00,T,F
57465,3462,3792,5946,29-10-2018,11:17:00,T,F
57197,6332,6330,5937,29-10-2018,11:27:00,F,T
57363,5903,5978,5937,29-10-2018,19:24:00,F,T
57108,5264,6387,5937,29-10-2018,19:26:00,F,T
57679,7873,9095,5937,29-10-2018,19:27:00,F,T
57792,5552,5321,5937,29-10-2018,19:28:00,F,T
57578,1865,2864,5937,29-10-2018,19:30:00,F,T
57462,6716,6606,5937,29-10-2018,19:32:00,F,T
63730,7236,7270,5937,29-10-2018,19:33:00,F,T
57056,3357,4437,5938,29-10-2018,19:53:00,F,T
57143,2786,5153,5938,29-10-2018,19:54:00,F,T
57564,9966,1318,5938,29-10-2018,19:57:00,F,T
57782,5578,6829,5938,29-10-2018,19:58:00,F,T
57028,3328,6520,5938,29-10-2018,20:00:00,F,T
57378,1744,1843,5938,29-10-2018,20:02:00,F,T
57055,2506,2506,5935,30-10-2018,20:20:00,T,F
57820,4152,7582,5935,30-10-2018,20:21:00,T,F
57459,8988,1953,5935,30-10-2018,20:22:00,T,F
57891,4040,4604,5931,30-10-2018,20:30:00,T,F
57151,9454,9344,5931,30-10-2018,20:31:00,T,F
57189,3953,1598,5931,30-10-2018,20:32:00,T,F
57484,8257,8272,5931,30-10-2018,20:34:00,T,F
57707,1181,1181,5933,30-10-2018,22:50:00,T,F
57424,1713,1715,5933,30-10-2018,22:51:00,T,F
57194,7354,6023,5933,30-10-2018,22:53:00,T,F
57750,9503,1202,5933,30-10-2018,22:54:00,T,F
57867,2900,2120,5933,13-10-2018,12:18:00,T,F
